City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,busselton,43.1767,51.6797,-0.6699999999999591,49,14,4.7,KZ,1675053359
1,rawson,-33.6445,115.3489,31.33000000000004,36,20,2.77,AU,1675053359
2,tarakan,-43.2991,-65.1057,31.420000000000016,20,0,15.02,AR,1675053361
3,cidreira,3.3416,117.5986,26.57000000000005,83,75,3.09,ID,1675053361
4,rikitea,-30.1657,-50.2183,21.220000000000027,91,2,0.78,BR,1675053362
5,longyearbyen,-23.123,-134.968,26.450000000000045,68,16,4.43,PF,1675053363
6,carnarvon,78.2232,15.6464,-4.849999999999966,63,75,10.8,SJ,1675053364
7,wajir,-24.8826,113.6576,27.100000000000023,62,1,5.64,AU,1675053364
8,hermanus,1.7505,40.0595,23.970000000000027,73,0,3.6,KE,1675053365
9,lompoc,-34.4175,19.2361,18.24000000000001,72,94,8.11,ZA,1675053366
10,safford,34.6392,-120.4579,9.32000000000005,92,75,0.0,US,1675053366
11,punta arenas,32.834,-109.7076,11.510000000000048,20,0,4.12,US,1675053367
12,barrow,-53.1626,-70.9078,9.160000000000025,81,75,5.14,CL,1675053368
13,veraval,71.2906,-156.7886,-17.98999999999998,78,100,5.66,US,1675053369
14,kununurra,20.9101,70.3653,21.220000000000027,51,0,5.6,IN,1675053369
15,barentsburg,-15.7731,128.7388,29.950000000000045,74,100,2.57,AU,1675053370
16,bambous virieux,78.0654,14.2172,-5.21999999999997,81,100,5.1,SJ,1675053371
17,ushuaia,-20.3472,57.7647,28.07000000000005,78,20,0.0,MU,1675053372
18,paamiut,-54.8061,-68.3185,7.830000000000041,81,0,2.57,AR,1675053372
19,upernavik,61.9946,-49.6659,-6.089999999999975,72,100,5.1,GL,1675053373
20,bredasdorp,72.7847,-56.147,-17.329999999999984,66,93,1.65,GL,1675053374
21,sobolevo,-34.5331,20.0428,18.760000000000048,64,98,7.82,ZA,1675053374
22,tuktoyaktuk,55.5204,38.7063,-3.0299999999999727,94,94,4.02,RU,1675053375
23,avarua,69.444,-133.0319,-29.99999999999997,76,40,0.0,CA,1675053376
